 ,Area,Mean,Min,Max,Angle,Length
135,2.653,58096.770,57186.723,59129.391,90.000,4.223
136,3.633,51351.990,37949.945,64172.543,125.754,5.902
137,3.633,48491.878,37349.312,60466.273,-24.775,5.486
138,2.973,42542.546,24175.834,56858.582,14.036,4.739
139,2.642,41186.540,26789.975,58479.250,-156.251,3.924
140,2.642,52981.214,34116.430,65535.000,70.346,4.272
141,2.642,63021.062,45423.500,65535.000,0.000,4.023
142,2.973,53052.726,39885.969,65535.000,58.241,4.731
143,2.642,52990.873,44347.691,58840.766,120.069,4.206
144,2.642,46423.567,34181.078,58290.637,24.228,4.201
145,2.973,49383.139,35419.723,65535.000,-9.462,4.661
146,3.303,48127.700,39777.449,56110.918,48.013,5.155
147,3.303,53518.934,42355.539,63414.609,143.973,5.211
148,2.642,53779.465,41285.516,62828.023,110.854,4.305
149,3.303,55808.963,44458.168,63579.945,27.553,4.970
150,2.312,53485.414,46881.277,63642.609,123.690,3.454
151,3.303,36117.201,23777.777,46620.215,54.462,4.944
152,2.973,51985.592,43209.734,65535.000,65.556,4.630
153,3.303,55257.925,45448.785,61909.906,15.068,5.158
154,3.303,48458.654,40146.758,57074.859,40.601,5.299
155,3.633,53022.086,40753.832,64257.254,7.595,5.798
156,3.303,48921.052,42156.160,60514.020,130.365,5.029
157,2.973,50774.690,39772.918,63980.707,106.260,4.789
158,2.642,50537.591,35668.508,63543.883,21.801,4.127
159,3.303,45381.436,28507.682,62881.031,96.582,5.014
160,2.642,42780.972,29533.084,49414.895,50.528,4.219
161,2.973,54324.417,48587.500,61436.055,94.764,4.614
162,3.303,50171.341,35326.125,59922.277,58.671,5.158
163,2.973,51797.215,39370.332,64252.793,128.290,4.637
164,3.303,51955.870,35379.840,64226.395,17.103,5.211
165,2.973,45949.528,30626.875,60365.125,97.125,4.633
166,3.303,54513.150,45669.723,63583.469,166.504,4.925
167,3.303,57296.354,45020.918,59353.391,0.000,5.364
168,3.303,53741.553,44067.219,63231.699,111.801,5.158
169,2.973,51734.306,42360.445,58263.168,120.964,4.468
170,2.973,50361.773,40799.750,58884.500,123.690,4.835
171,3.633,52384.232,40249.898,65535.000,-9.162,6.015
172,3.303,45273.798,35622.195,58297.426,-33.111,5.260
