 ,Area,Mean,Min,Max,Angle,Length
1,3.633,45923.218,31795.189,58095.168,-46.397,5.556
2,2.312,53747.131,43158.668,59521.832,-59.036,3.351
3,3.303,52180.918,42888.535,59203.758,-160.907,5.271
4,3.303,51292.803,44580.094,57770.316,-40.601,5.299
5,3.303,45527.278,34690.793,59081.934,-50.711,5.445
6,2.973,53958.901,45453.734,65535.000,153.997,4.370
7,2.973,61981.997,55342.859,65535.000,2.386,4.602
8,2.973,51312.545,38149.062,59907.938,-163.301,4.500
9,2.973,50051.413,44849.625,63033.750,-34.216,4.344
10,2.973,52634.371,43821.668,65535.000,-45.000,4.335
11,2.642,52403.603,45701.047,63509.031,-45.000,4.064
12,3.303,47954.225,36573.566,58271.098,164.932,5.158
13,2.642,51731.516,43975.254,64656.039,111.801,4.127
14,3.964,61138.147,46446.250,65092.941,-1.685,6.516
15,2.973,48478.130,40842.500,53094.082,-36.870,4.789
16,3.303,56529.386,46522.250,64997.988,-10.886,5.072
17,3.303,51344.498,41284.738,62039.234,-8.746,5.039
18,2.973,54918.091,42145.445,64532.043,-82.875,4.633
19,3.303,53409.718,44499.598,61699.305,-153.435,5.140
20,2.312,54579.090,47517.055,65535.000,-124.509,3.720
21,3.303,51434.446,46833.680,60012.676,-53.973,5.211
22,3.303,45412.934,27020.160,57564.398,36.027,5.211
23,3.303,52768.786,46170.316,59367.648,41.987,5.155
24,2.642,53099.096,38827.750,59595.609,110.225,3.879
25,3.303,57017.132,48848.832,64874.723,10.491,5.260
26,3.303,52906.075,47277.027,57343.355,2.203,4.985
27,3.303,51363.149,41952.684,58385.293,-59.744,5.323
28,3.964,42170.097,27542.131,55011.645,-32.735,6.377
29,3.964,51968.297,40975.652,64845.656,-40.030,6.255
30,3.303,57294.809,43602.250,59919.168,-90.000,5.172
31,2.973,45910.847,26215.834,57327.055,40.101,4.759
32,3.303,43475.763,24791.418,62209.754,47.862,5.425
33,2.642,48035.507,39946.582,54977.973,45.000,4.064
34,3.303,33245.182,20688.115,40450.250,61.557,5.229
35,3.964,51945.323,39801.945,60349.469,70.463,6.301
36,3.633,46699.158,35246.301,55180.832,148.392,5.848
37,3.303,44362.419,32153.648,56027.039,164.358,4.973
38,3.303,39960.521,28886.324,48246.535,33.111,5.260
39,3.633,44929.996,22304.221,61644.539,78.111,5.579
40,3.303,50500.605,35422.766,64390.918,73.009,5.408
41,3.303,49436.304,41079.621,62477.750,143.746,5.345
42,3.964,55960.023,45773.371,65535.000,-5.080,6.491
43,2.973,52896.157,41085.938,63101.062,68.839,4.776
44,3.303,46956.180,35592.965,59424.027,118.072,4.885
45,3.633,52206.773,36574.770,63232.648,149.036,5.864
46,3.633,45233.856,32002.619,58515.250,-47.121,5.490
47,3.303,39871.330,24529.248,52097.527,58.671,5.158
48,3.633,54837.374,35859.750,64252.457,164.055,5.579
49,3.964,51099.562,42925.316,58109.832,-28.887,6.345
50,2.973,50135.046,39700.891,57984.500,59.036,4.468
51,3.633,56284.833,46375.582,64224.422,-3.691,5.951
52,2.973,46658.398,35663.902,65535.000,52.125,4.368
53,3.303,57861.224,54937.082,59887.609,90.000,5.172
54,3.303,52473.558,44468.500,64825.285,-15.068,5.158
55,3.303,45908.063,26447.498,54068.148,51.340,4.907
56,3.633,53116.337,39810.074,64275.926,12.680,5.891
57,3.964,51521.937,45821.402,62839.312,43.152,6.302
58,3.964,59896.843,50044.438,64598.062,2.545,6.472
59,3.964,44782.497,24145.309,63772.809,54.462,6.592
60,3.303,46926.247,29906.314,64696.055,85.764,5.187
61,3.964,51539.139,37996.824,64915.273,-8.366,6.583
62,3.964,48304.424,38438.465,59157.305,138.814,6.109
63,4.294,54193.317,43082.328,65535.000,22.109,6.617
64,3.964,44143.742,34671.258,56808.582,-42.510,6.237
65,3.303,37000.595,21299.500,46052.559,26.565,5.140
66,3.964,43834.342,27705.258,56061.508,-42.510,6.237
67,3.633,53171.197,43291.344,64366.855,30.651,6.012
68,3.964,54387.740,40522.996,64905.648,-21.161,6.368
69,3.623,47314.108,35560.770,62782.305,-36.573,5.538
70,3.952,54116.694,42137.957,65535.000,-56.310,6.208
71,3.623,53190.755,41819.699,65535.000,-26.565,5.775
72,3.293,51309.312,36411.750,65535.000,-36.254,5.337
73,2.964,48196.048,39805.461,62892.062,41.009,4.373
74,3.623,53839.461,41735.219,65535.000,-18.435,5.898
75,3.623,44816.679,41665.102,48190.965,90.000,5.930
76,3.293,49246.977,31491.895,60745.574,127.694,5.319
77,3.623,41599.856,33399.793,53904.223,49.185,5.561
78,2.964,51626.414,37023.750,60547.609,139.899,4.752
79,3.623,53167.890,35547.750,64248.898,112.166,5.577
80,3.952,53271.326,42858.168,63097.816,144.462,6.582
81,3.293,49775.477,39882.281,57288.844,132.138,5.417
82,2.964,44042.509,23598.875,60996.625,112.249,4.547
83,2.305,45825.215,37163.598,65535.000,135.000,3.517
84,3.293,51117.740,40855.938,63205.277,145.713,5.094
85,3.623,48522.896,35091.391,65535.000,9.782,5.629
86,3.293,54471.586,43140.840,63334.168,162.897,5.204
87,2.635,49516.090,38523.582,64452.930,117.759,4.107
88,3.952,44871.341,32708.531,56537.023,137.490,6.228
89,3.293,45311.850,36483.082,52967.750,133.452,5.007
90,3.623,48605.673,40783.500,58017.035,140.194,5.976
91,3.293,51022.837,43317.277,59583.066,140.711,5.438
92,3.293,45067.138,30886.166,57368.398,102.529,5.291
93,3.952,48847.941,39790.250,58062.652,136.273,6.089
94,3.623,50716.983,39267.766,64518.996,157.521,6.004
95,3.293,47481.467,41047.746,62700.555,128.991,5.169
96,3.623,53644.834,41874.250,64517.059,118.301,5.649
97,4.282,50863.773,41076.242,57802.711,138.504,6.640
98,2.964,54740.278,44823.500,65535.000,135.000,4.870
99,3.952,44245.542,33274.207,54721.973,135.000,6.222
100,3.952,46731.284,39112.047,53734.590,133.727,6.089
101,3.952,42221.035,34320.512,51397.863,136.273,6.089
102,3.952,53567.345,41552.590,60711.609,108.970,6.473
103,3.623,51615.586,40243.836,64357.133,113.199,5.827
104,4.282,55104.575,45431.500,65535.000,152.354,6.802
105,2.964,51662.488,41589.297,65535.000,127.569,4.706
106,3.623,21828.727,16182.640,25056.000,98.973,5.519
107,2.964,45531.191,22943.916,65535.000,124.992,4.670
108,3.647,49407.528,31554.709,65108.879,122.320,5.565
109,3.316,51093.315,37306.332,59319.027,143.973,5.221
110,3.316,40111.691,32210.125,46870.438,136.169,4.989
111,2.984,37912.057,19031.000,53334.648,103.627,4.888
112,2.984,51564.347,42375.500,65535.000,124.160,4.871
113,3.316,42354.800,24887.250,58399.707,125.538,4.953
114,3.979,52693.537,42310.719,65021.391,175.601,6.256
115,3.316,53000.457,41723.141,64498.559,167.800,5.449
116,3.647,47653.148,40749.922,60796.875,135.000,5.497
117,3.316,42963.254,22935.834,57915.266,140.389,5.419
118,3.647,49733.690,41546.160,63380.531,140.906,5.935
119,3.979,47407.877,39809.340,57966.410,38.234,6.048
120,3.316,47377.392,38381.105,58673.832,49.574,5.106
121,3.647,51220.955,41679.805,59258.824,46.005,5.803
122,2.984,40997.744,24932.057,49156.438,117.350,4.700
123,3.979,43036.823,21258.211,63767.262,10.081,6.579
124,3.647,54565.382,42263.500,64378.926,80.311,5.988
125,2.984,46274.836,39188.461,58548.773,130.030,4.700
126,2.653,40642.076,26162.424,59091.250,52.306,4.002
127,3.316,47113.214,35590.129,58433.832,115.866,5.279
128,3.316,47451.979,31876.111,60310.418,55.408,5.071
129,4.310,46177.540,27107.334,62978.758,158.499,6.808
130,2.984,53014.158,46521.043,60513.832,92.490,4.419
131,2.653,49945.375,44125.855,57010.398,87.337,4.131
132,2.653,53199.754,42644.695,62421.930,117.474,4.056
133,2.653,20709.342,13936.122,26824.000,129.289,4.092
134,2.653,50790.383,32772.398,65535.000,111.038,4.010
