 ,Area,Mean,Min,Max,Angle,Length
1,4.846,57480.753,49436.254,65535.000,20.772,6.862
2,3.965,52487.389,41570.582,65535.000,124.992,5.401
3,4.405,46832.467,39804.016,57080.641,62.526,6.234
4,3.965,53160.148,44916.945,64099.707,143.130,5.531
5,3.524,46345.960,38521.730,53993.527,63.435,4.452
6,4.846,53492.735,45552.699,64514.820,146.310,6.381
7,3.965,55308.536,48111.582,64275.875,116.565,5.442
8,3.965,51953.457,46251.625,63477.469,56.310,5.384
9,3.965,51953.457,46251.625,63477.469,56.310,5.384
10,4.405,53638.835,48282.316,58999.203,133.452,5.790
11,3.965,51890.488,42987.902,61333.375,125.754,5.112
12,3.965,54561.421,44036.445,60786.965,124.160,5.615
13,4.405,49564.804,43424.305,54307.391,55.408,5.845
14,3.965,49769.740,42553.703,56337.109,43.727,5.281
15,3.965,53919.874,44150.641,60335.250,133.727,5.281
16,3.965,55811.431,46770.562,65535.000,100.620,5.402
17,4.405,55074.496,49101.145,63617.672,124.287,5.891
18,4.405,51120.721,40189.324,63426.465,164.932,5.957
19,4.405,54038.872,45824.973,59731.250,130.236,5.651
20,4.846,57162.850,45036.211,64199.051,174.144,6.505
21,4.846,51648.207,41331.750,61438.301,140.906,6.841
22,3.965,53852.698,46313.031,62244.125,23.199,5.055
23,4.504,54971.358,49040.832,61237.980,41.987,6.020
24,4.504,47914.061,41531.625,52055.500,46.123,6.052
25,4.504,51452.336,38116.223,65535.000,34.992,6.144
26,4.054,59358.903,51566.500,65535.000,96.911,5.577
27,4.054,56001.234,49717.625,59470.750,61.113,5.557
28,4.504,47184.427,31844.139,58460.215,30.700,6.244
29,4.955,55391.885,43837.445,65535.000,37.747,6.578
30,4.504,53796.688,41662.316,63931.352,147.995,6.332
31,4.955,50867.055,37943.262,60022.301,49.185,6.503
32,4.054,49045.944,39422.480,59937.832,39.806,5.242
33,4.054,55971.142,46925.625,65535.000,33.024,5.336
34,4.955,56017.990,47991.891,65535.000,112.166,6.522
35,5.405,54076.642,48116.227,59660.348,136.273,7.120
36,4.955,50740.343,36539.750,65535.000,86.987,6.385
37,4.504,52939.044,46124.340,58163.406,51.340,5.730
38,4.955,52818.784,42065.711,64488.898,55.784,6.763
39,4.504,47138.936,38946.699,61478.773,19.093,6.155
40,4.054,58408.355,50753.891,65535.000,16.260,5.593
41,4.504,53963.857,47719.500,62111.602,26.565,6.003
42,4.955,45080.321,25530.639,59071.699,42.274,6.651
43,4.504,52446.738,45085.387,64546.816,122.005,6.332
44,4.054,55992.661,52587.500,61582.723,87.709,5.597
45,4.054,54072.503,44031.668,61068.500,120.964,5.218
46,4.955,50934.969,45787.434,56876.133,43.603,6.488
47,4.889,56513.480,49610.168,64499.832,117.408,6.759
48,4.000,51234.649,34471.918,65535.000,34.992,5.425
49,4.889,55359.399,46823.500,61360.500,69.677,6.398
50,4.444,48022.098,39727.293,57617.527,117.474,6.262
51,4.444,49140.994,40319.008,57323.359,50.711,6.317
52,3.556,53938.547,46691.832,62204.645,62.241,4.771
53,4.000,57180.870,48353.332,64444.375,-6.843,5.595
54,4.444,56026.093,47144.242,62687.684,104.534,6.198
55,4.000,55020.215,48238.168,59873.000,138.366,5.352
56,4.444,52547.776,46864.242,59745.438,129.289,6.317
57,4.889,43929.010,33366.301,52891.500,23.962,6.566
58,4.000,55224.516,45306.746,59377.430,58.241,5.488
59,4.889,47759.048,32684.723,59388.797,31.608,6.784
60,4.444,51805.332,41570.898,62612.871,112.620,5.778
61,4.000,45359.482,32647.930,59206.422,43.264,5.188
62,4.889,50528.362,40349.102,61491.609,36.469,6.356
63,4.444,51728.580,41189.906,64348.914,34.287,5.917
64,4.889,55160.159,49142.168,61034.277,59.036,6.479
65,4.444,46298.254,38376.438,53237.547,63.435,5.963
66,4.444,52482.757,40135.648,63995.797,77.471,6.146
67,4.889,50440.377,40715.547,57379.797,127.747,6.534
68,5.333,53803.167,47518.145,59934.035,40.030,7.255
69,4.000,57105.917,50239.625,65535.000,95.356,5.357
70,4.444,56707.539,50211.805,62273.777,28.072,5.667
71,4.444,54429.125,43248.254,63941.820,32.005,6.289
72,4.000,48835.607,38666.332,58924.500,66.801,5.077
73,2.379,50053.896,38342.547,65535.000,138.814,5.965
74,2.519,53685.316,40893.453,65111.891,28.072,6.359
75,2.519,43715.401,33213.863,58674.820,53.807,6.335
76,2.099,55532.720,42671.602,65535.000,72.525,5.294
77,2.239,54079.210,44361.750,65059.465,111.448,5.627
78,2.659,50729.044,31791.791,65535.000,92.386,6.739
79,2.099,47358.959,24144.000,60827.410,67.218,5.071
80,2.379,52274.154,36559.375,64314.500,106.189,6.037
81,2.798,54948.378,44117.500,65535.000,126.254,6.958
82,2.239,39872.881,24529.920,53348.102,54.689,5.501
83,2.099,55900.407,40590.137,62930.934,105.376,5.173
84,2.379,43446.918,34922.688,51621.438,134.356,5.886
85,2.099,50640.029,39440.816,64136.668,58.861,5.244
86,2.519,43143.811,33712.516,57923.633,53.807,6.335
87,3.078,50948.981,39848.941,62463.289,139.844,7.831
88,2.239,50768.910,38450.625,64268.898,106.821,5.601
89,3.498,51835.130,31305.875,65535.000,86.424,8.995
90,2.239,46773.866,33171.750,61148.539,126.870,5.611
91,2.367,43032.691,31811.750,46583.500,90.000,5.970
92,2.785,35188.435,16635.258,52095.309,46.081,6.993
93,2.924,49395.993,27819.465,65535.000,71.114,7.493
94,2.506,52972.737,42989.105,65535.000,62.700,6.508
95,2.785,41268.338,24250.758,53203.418,62.745,6.926
96,3.202,48708.523,38451.750,64517.504,141.546,8.100
97,2.785,50959.891,39979.410,65535.000,66.194,6.933
98,2.645,50239.697,33154.074,61225.875,75.700,6.546
99,2.506,43063.094,29049.719,58793.727,124.902,6.521
100,2.645,44581.917,25740.531,62894.363,106.390,6.612
101,2.785,47667.300,31107.373,65535.000,56.725,7.141
102,2.506,52709.904,42318.090,65535.000,76.759,6.516
