 ,Area,Mean,Min,Max,Angle,Length
103,2.645,42645.150,19832.389,63131.945,86.820,6.727
104,3.063,46202.834,30268.133,65535.000,62.819,7.760
105,2.506,53357.365,40408.711,65535.000,61.928,6.343
106,2.785,49413.871,33816.992,64430.762,19.855,7.141
107,2.228,47162.741,33846.723,57846.855,131.009,5.686
108,2.228,53059.358,41971.379,65535.000,105.422,5.613
109,2.506,54899.447,43742.844,65535.000,113.629,6.516
110,2.506,53303.106,41444.469,65535.000,115.017,6.176
111,2.506,56633.900,42200.129,65535.000,69.444,6.376
112,2.228,52087.235,41990.070,65535.000,115.253,5.466
113,2.645,54023.577,41173.223,65535.000,78.996,6.842
114,2.506,53647.920,42415.469,65535.000,112.751,6.272
115,2.645,54105.231,42243.945,65535.000,96.340,6.758
116,2.645,49328.341,41496.352,59752.273,136.123,6.729
117,2.645,49923.259,28923.750,65535.000,138.366,6.740
118,2.228,45108.767,26204.232,64307.301,86.186,5.609
119,2.367,51156.740,34452.945,63841.875,171.870,6.156
120,2.619,39726.361,22102.908,60804.098,74.055,6.757
121,2.757,32010.497,19039.197,44233.109,32.005,7.005
122,2.619,64618.395,48119.500,65535.000,0.000,6.497
123,2.619,51126.388,39724.992,65535.000,121.504,6.750
124,2.343,49530.546,37299.516,64325.562,65.854,5.900
125,2.206,53021.290,42183.371,63588.586,124.046,5.526
126,3.171,54253.870,41619.254,65535.000,91.332,7.985
127,2.481,48861.896,26841.646,64047.031,95.042,6.336
128,2.343,48276.168,28492.938,65535.000,113.429,6.070
129,2.206,43083.598,29334.301,61098.301,132.274,5.520
130,2.481,55672.980,45744.770,65535.000,76.373,6.304
131,2.481,49606.991,29311.324,65535.000,81.634,6.380
132,2.619,40497.043,22400.000,65535.000,65.556,6.729
133,2.206,55023.607,40990.879,65069.590,95.080,5.591
134,2.895,52101.831,34160.648,65535.000,99.926,7.538
135,2.619,46240.050,30909.672,65535.000,46.123,6.696
136,2.757,47463.941,32333.639,64526.516,114.567,7.144
137,2.757,49014.434,34923.973,64297.133,79.563,7.173
138,2.344,46017.383,37976.258,58740.039,132.397,5.782
139,2.757,49906.767,34624.375,65535.000,88.452,6.871
140,2.619,43585.032,25215.518,55944.832,42.709,6.569
141,2.757,52877.708,39844.633,65535.000,21.251,7.171
142,2.481,44509.029,30928.230,56721.992,40.236,6.323
143,1.930,40405.199,19550.582,57958.902,68.199,4.999
144,2.206,51010.428,35734.723,65535.000,122.619,5.510
145,2.206,53254.641,38144.879,65535.000,95.906,5.412
146,2.895,53672.745,43155.961,65535.000,156.038,7.313
147,2.757,55492.542,40866.000,65535.000,93.013,7.064
148,2.481,53884.183,41225.586,65535.000,113.629,6.484
149,2.481,53081.146,40341.305,65535.000,115.017,6.146
150,2.068,54766.772,44655.430,65535.000,98.130,5.251
151,2.344,56461.824,42647.500,65535.000,104.036,6.123
152,2.206,55789.061,43767.332,65535.000,109.654,5.520
153,2.619,45418.250,27226.584,65535.000,82.093,6.747
154,2.344,30599.529,17648.000,44903.031,50.194,5.800
155,2.619,46138.949,35299.445,65535.000,40.426,6.584
156,2.619,55962.626,45059.500,65535.000,106.390,6.579
157,2.068,48340.523,37736.070,65535.000,128.991,5.016
158,2.206,44042.814,27577.500,60133.180,97.853,5.435
159,2.619,49724.934,42669.742,65535.000,130.601,6.846
160,2.757,50579.198,28457.547,65535.000,97.696,6.931
161,2.068,50220.499,37280.223,65535.000,122.005,5.254
