sample1,,sample2,,sample3,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
738.0031128,-0.008691973053,738.0031128,-0.008875432424,738.0031128,-0.008579200134,
737.0056763,-0.009570007212,737.0056763,-0.009348130785,737.0056763,-0.009261680767,
736.0078735,-0.009631635621,736.0078735,-0.009935246781,736.0078735,-0.009664750658,
735.0097656,-0.01027601212,735.0097656,-0.01018944196,735.0097656,-0.01035022922,
734.0112305,-0.01091095153,734.0112305,-0.01105602831,734.0112305,-0.0107527962,
733.0123901,-0.01106667705,733.0123901,-0.01109140646,733.0123901,-0.01096921042,
732.0131836,-0.01147261448,732.0131836,-0.01135990676,732.0131836,-0.01158710849,
731.0136719,-0.01167279482,731.0136719,-0.01178653073,731.0136719,-0.01163282711,
730.013855,-0.01207776368,730.013855,-0.01198535785,730.013855,-0.01199981198,
729.0136108,-0.01218328811,729.0136108,-0.01224359125,729.0136108,-0.01230906881,
728.0130615,-0.01251469925,728.0130615,-0.01249915641,728.0130615,-0.01229764521,
727.012146,-0.01247858163,727.012146,-0.01249654032,727.012146,-0.0125327576,
726.0109253,-0.01267216448,726.0109253,-0.01247480884,726.0109253,-0.01250051428,
725.0092773,-0.01251651067,725.0092773,-0.01254437584,725.0092773,-0.01249382365,
724.0073853,-0.01241272688,724.0073853,-0.01241851225,724.0073853,-0.01226015016,
723.0050659,-0.01239390951,723.0050659,-0.01238817349,723.0050659,-0.01209855825,
722.0025635,-0.0123912422,722.0025635,-0.01218615752,722.0025635,-0.01239139307,
720.9995117,-0.01190532371,720.9995117,-0.0119702993,720.9995117,-0.01190759055,
719.9962158,-0.01156235673,719.9962158,-0.01159834955,719.9962158,-0.01140201744,
718.9926147,-0.0113764992,718.9926147,-0.01141608786,718.9926147,-0.01141407061,
717.9885864,-0.01099308673,717.9885864,-0.01084081922,717.9885864,-0.01101433765,
716.984314,-0.01062262338,716.984314,-0.010530564,716.984314,-0.01056219544,
716.015564,-0.01019080728,716.015564,-0.01015206799,716.015564,-0.01022878475,
715.0105591,-0.009728745557,715.0105591,-0.009718113579,715.0105591,-0.009716139175,
714.005249,-0.009332575835,714.005249,-0.009189405479,714.005249,-0.009042436257,
712.9995728,-0.00868527405,712.9995728,-0.008440706879,712.9995728,-0.008353567682,
711.9935913,-0.007545782719,711.9935913,-0.007613346446,711.9935913,-0.00775276497,
710.9873047,-0.007019770332,710.9873047,-0.007065208163,710.9873047,-0.00701462524,
710.0165405,-0.006668027025,710.0165405,-0.006582673173,710.0165405,-0.006638864055,
709.0095825,-0.005890450906,709.0095825,-0.006045382936,709.0095825,-0.005865576677,
708.0021973,-0.005393723026,708.0021973,-0.005236000288,708.0021973,-0.005583078135,
706.9946289,-0.004844924435,706.9946289,-0.004779642448,706.9946289,-0.004831152037,
705.9866333,-0.003926493227,705.9866333,-0.003803187516,705.9866333,-0.004152181093,
705.0142822,-0.00334136514,705.0142822,-0.003440559143,705.0142822,-0.003310950007,
704.0055542,-0.002892834134,704.0055542,-0.002870308002,704.0055542,-0.002789553953,
702.9966431,-0.001986907329,702.9966431,-0.001870318083,702.9966431,-0.001919957343,
701.9873657,-0.001226865221,701.9873657,-0.001544093713,701.9873657,-0.001424547401,
701.0137329,-0.001057447633,701.0137329,-0.001033689827,701.0137329,-0.0008310241392,
700.0037231,-0.0003234023752,700.0037231,-0.0003361803538,700.0037231,-0.0004133057373,
698.9934692,0.0004202030541,698.9934692,0.0004792064719,698.9934692,0.0004879656772,
697.9829102,0.001205758075,697.9829102,0.001036052243,697.9829102,0.001037064241,
697.0079956,0.001454324578,697.0079956,0.001664287411,697.0079956,0.001382385846,
695.9967651,0.002012370853,695.9967651,0.002378562232,695.9967651,0.002244668314,
694.9851685,0.00262248842,694.9851685,0.002552699298,694.9851685,0.002652178053,
694.0093994,0.002922213636,694.0093994,0.003175258869,694.0093994,0.003219538135,
692.9971313,0.00362524949,692.9971313,0.003672837745,692.9971313,0.00374288531,
691.9846191,0.003944553901,691.9846191,0.004165655468,691.9846191,0.004108736292,
691.0078125,0.004694671836,691.0078125,0.004383836873,691.0078125,0.004548499826,
689.9946289,0.004699225072,689.9946289,0.004959120881,689.9946289,0.004909820389,
689.017334,0.00524594821,689.017334,0.005801046733,689.017334,0.005516946316,
688.003418,0.005801598076,688.003418,0.005695441272,688.003418,0.005996193271,
686.9891968,0.006423870102,686.9891968,0.006056773011,686.9891968,0.0065098661,
686.0109863,0.006382782944,686.0109863,0.006926476024,686.0109863,0.006439134013,
684.9962158,0.006920531392,684.9962158,0.006594144274,684.9962158,0.006985501852,
684.017334,0.007452968974,684.017334,0.007349962369,684.017334,0.00687219156,
683.0018921,0.007510486059,683.0018921,0.007290176116,683.0018921,0.007474747952,
681.986084,0.007683163043,681.986084,0.007518993225,681.986084,0.007962620817,
681.0062866,0.007972955704,681.0062866,0.007937099785,681.0062866,0.008077534847,
679.9898682,0.008305553347,679.9898682,0.008191318251,679.9898682,0.008436156437,
679.0094604,0.008258008398,679.0094604,0.008361362852,679.0094604,0.008416994475,
677.9924316,0.008672734722,677.9924316,0.008599986322,677.9924316,0.008571339771,
677.0114136,0.008521732874,677.0114136,0.0087856967,677.0114136,0.008951006457,
675.9937744,0.009202539921,675.9937744,0.009395068511,675.9937744,0.009052675217,
675.012085,0.008990804665,675.012085,0.008962475695,675.012085,0.009262326173,
673.9938354,0.009199975058,673.9938354,0.009356635623,673.9938354,0.009646012448,
673.0116577,0.009595965035,673.0116577,0.009562541731,673.0116577,0.009555503726,
671.9926758,0.009550104849,671.9926758,0.009621053934,671.9926758,0.009771697223,
671.0098877,0.01012801193,671.0098877,0.009789621457,671.0098877,0.01013879571,
669.9902954,0.01003297791,669.9902954,0.01007624064,669.9902954,0.009861986153,
669.006897,0.009880311787,669.006897,0.009838499129,669.006897,0.00983195845,
667.9867554,0.009475093335,667.9867554,0.009387344122,667.9867554,0.009371923283,
667.0027466,0.009237257764,667.0027466,0.009092747234,667.0027466,0.00917485822,
665.9819946,0.008836733177,665.9819946,0.008526194841,665.9819946,0.008942815475,
664.9973145,0.008659081534,664.9973145,0.008679099381,664.9973145,0.008684037253,
664.0123901,0.008653641678,664.0123901,0.008856706321,664.0123901,0.008616699837,
662.9906616,0.008645905182,662.9906616,0.008511727676,662.9906616,0.008480763994,
662.005188,0.00849950593,662.005188,0.008566243574,662.005188,0.008417839184,
660.9828491,0.008299431764,660.9828491,0.008320302702,660.9828491,0.008404194377,
659.9967651,0.008427049965,659.9967651,0.008439243771,659.9967651,0.008362075314,
659.010376,0.00843203906,659.010376,0.008732579648,659.010376,0.008735379204,
657.9870605,0.008388676681,657.9870605,0.00861382205,657.9870605,0.00858335197,
657.0001831,0.008407493122,657.0001831,0.008462946862,657.0001831,0.008422536775,
656.0128784,0.008415753953,656.0128784,0.008471788839,656.0128784,0.008273918182,
654.9887695,0.008308191784,654.9887695,0.008229621686,654.9887695,0.008416149765,
654.0009155,0.008361970074,654.0009155,0.008414275944,654.0009155,0.00836075563,
653.0127563,0.008440432139,653.0127563,0.008339487016,653.0127563,0.008485779166,
651.9876709,0.008437027223,651.9876709,0.008458195254,651.9876709,0.008493460715,
650.9989624,0.008464925922,650.9989624,0.008506395854,650.9989624,0.008657392114,
650.0100098,0.008420848288,650.0100098,0.008414883167,650.0100098,0.008363737725,
648.9840088,0.008437844925,648.9840088,0.008537440561,648.9840088,0.008562996052,
647.9944458,0.008320013061,647.9944458,0.008178418502,647.9944458,0.008228012361,
647.0045776,0.008236665279,647.0045776,0.008378569037,647.0045776,0.008372472599,
646.0144043,0.008199442178,646.0144043,0.008322281763,646.0144043,0.008061105385,
644.9873047,0.008136769757,644.9873047,0.008315368555,644.9873047,0.008142809384,
643.99646,0.008225373924,643.99646,0.008126404136,643.99646,0.008039797656,
643.0054932,0.008018781431,643.0054932,0.008070651442,643.0054932,0.007961671799,
642.0142212,0.008073604666,642.0142212,0.008098764345,642.0142212,0.008180239238,
640.9858398,0.008013296872,640.9858398,0.007928637788,640.9858398,0.008073394187,
639.9940186,0.008096179925,639.9940186,0.008167814463,639.9940186,0.008248141967,
639.0018311,0.007927740924,639.0018311,0.007970635779,639.0018311,0.00825508032,
638.0094604,0.008169845678,638.0094604,0.007943533361,638.0094604,0.008152225986,
637.0166626,0.008243894204,637.0166626,0.008032968268,637.0166626,0.008083520457,
635.9868774,0.007985294797,635.9868774,0.008046390489,635.9868774,0.008159796707,
634.9935913,0.007783824112,634.9935913,0.00796815753,634.9935913,0.007812340278,
634.000061,0.008240807801,634.000061,0.00801116135,634.000061,0.007957690395,
633.0062256,0.007930430584,633.0062256,0.007938470691,633.0062256,0.008013851009,
632.012085,0.007847289555,632.012085,0.007829392329,632.012085,0.007878129371,
