sample13,,sample14,,sample15,,
Wavelength (nm),Abs,Wavelength (nm),Abs,Wavelength (nm),Abs,
800.0151978,0.03581614792,800.0151978,0.03508286923,800.0151978,0.03298037127,
799.0057373,0.03569567949,799.0057373,0.03474101797,799.0057373,0.03323207796,
797.9959717,0.03546551988,797.9959717,0.03537162766,797.9959717,0.03337620944,
796.9857178,0.03590749204,796.9857178,0.03487215936,796.9857178,0.03292649984,
796.0099487,0.03602200001,796.0099487,0.03466856107,796.0099487,0.03334227577,
794.9989014,0.03598659486,794.9989014,0.03468159959,794.9989014,0.03295277804,
793.9874878,0.0359421894,793.9874878,0.0348995924,793.9874878,0.03333992884,
793.0105591,0.03606033698,793.0105591,0.03450202569,793.0105591,0.03252685443,
791.9983521,0.03563012183,791.9983521,0.03481303155,791.9983521,0.03277528659,
790.9857178,0.03566563874,790.9857178,0.03469483554,790.9857178,0.03278686851,
790.0076294,0.03592329472,790.0076294,0.0345460847,790.0076294,0.03325750679,
788.9942627,0.03589433432,788.9942627,0.03503631055,788.9942627,0.03298942,
788.0154419,0.03564776853,788.0154419,0.03481328487,788.0154419,0.03327382728,
787.0012817,0.03554951027,787.0012817,0.03466087952,787.0012817,0.03320620209,
785.9865723,0.03563475609,785.9865723,0.03443726152,785.9865723,0.03299709782,
785.0067139,0.03516513109,785.0067139,0.03395053744,785.0067139,0.03275474161,
783.991272,0.03554633632,783.991272,0.0336984992,783.991272,0.03265733272,
783.010498,0.03512499481,783.010498,0.03435852751,783.010498,0.03275102749,
781.9944458,0.03497472405,781.9944458,0.03420524299,781.9944458,0.03300908208,
781.0128784,0.03486085683,781.0128784,0.03448989242,781.0128784,0.03267968446,
779.9960327,0.03524350747,779.9960327,0.03384219855,779.9960327,0.03283206746,
779.0137329,0.03549998626,779.0137329,0.03407127783,779.0137329,0.03338767216,
777.9960327,0.03535503149,777.9960327,0.03420697898,777.9960327,0.03322662786,
777.0130615,0.03495645896,777.0130615,0.03447649628,777.0130615,0.03284499422,
775.9945679,0.03540661931,775.9945679,0.03436306491,775.9945679,0.03328629211,
775.0108032,0.03524853289,775.0108032,0.03427868709,775.0108032,0.0329711251,
773.9916382,0.03510986641,773.9916382,0.03425756469,773.9916382,0.03340246156,
773.0070801,0.03518464044,773.0070801,0.03451102227,773.0070801,0.03333875537,
771.9870605,0.03537280858,771.9870605,0.03443720564,771.9870605,0.03313713148,
771.0018921,0.03550765291,771.0018921,0.03465908766,771.0018921,0.03370132297,
770.0162964,0.03579835594,770.0162964,0.03511118516,770.0162964,0.03343648463,
768.9950562,0.03606303781,768.9950562,0.03528129682,768.9950562,0.03356309235,
768.0087891,0.03629779443,768.0087891,0.03555282578,768.0087891,0.03420756757,
766.9868164,0.03658178821,766.9868164,0.03556535766,766.9868164,0.03459435329,
765.9997559,0.03665106744,765.9997559,0.03584622964,765.9997559,0.03432812914,
765.0123291,0.03742591292,765.0123291,0.03644410148,765.0123291,0.0348395668,
763.9892578,0.03797745705,763.9892578,0.03704088554,763.9892578,0.03580735251,
763.0010986,0.03818874434,763.0010986,0.037443351,763.0010986,0.03614849597,
762.0126343,0.03835735098,762.0126343,0.036987748,762.0126343,0.03605741262,
760.9883423,0.03830156475,760.9883423,0.03767563775,760.9883423,0.03610660881,
759.9991455,0.03835387528,759.9991455,0.0372899361,759.9991455,0.03588182107,
759.0095825,0.03808564693,759.0095825,0.03685664013,759.0095825,0.03540103137,
757.9841919,0.03767216578,757.9841919,0.03636610135,757.9841919,0.03568657488,
756.9938965,0.03760164976,756.9938965,0.03607538342,756.9938965,0.03487373143,
756.0031738,0.03731523827,756.0031738,0.03599345684,756.0031738,0.03482352197,
755.012085,0.0370442383,755.012085,0.03520223871,755.012085,0.0345011279,
